Название,Год,Тип активности,Формат работы,Город,Страна,Фестиваль/Программа,Площадка,Заказчик/Партнер,Тематика,Описание
фак да шакинг,2007,Участие в выставке,Выставочная работа,Екатеринбург,Россия,,,,,Ненужные
Стой! Кто идет?,2006,Участие в выставке,,Москва,Россия,Стой! Кто идет?,,,,
4 годовщины,2006,Художественная работа,Мурал,Екатеринбург,Россия,Длинные истории Екатеринбурга 4,,,,
Французская весна,2006,Участие в выставке,,Екатеринбург,Россия,Французская весна,,,,
Море,2005,Художественная работа,Мурал,Екатеринбург,Россия,Длинные истории Екатеринбурга 3,,,,
OUTVIDEO,2005,Участие в выставке,,Екатеринбург,Россия,OUTVIDEO,,,,Видеоарт
ESF,2005,Участие в выставке,,Новосибирск,Россия,ESF,,,,Приз
Полный бетон,2005,Участие в выставке,,Екатеринбург,Россия,Полный бетон,,,,
Дуэт,2005,Участие в выставке,,Екатеринбург,Россия,Дуэт,,,,
Communal,2004,Художественная работа,Мурал,Екатеринбург,Россия,Длинные истории Екатеринбурга 2,,,,
Захват 4 овощебазы,2003,Художественная работа,Мурал,Екатеринбург,Россия,Длинные истории Екатеринбурга,,,,Первая работа
